,source_file,holc_grade,loc_year,median,mean,min,max,std
3,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,D,NYC,0.03373270798396288,0.04408103390547893,-0.08250012723807276,0.283863754774749,0.06451836309372251
4,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,E,NYC,0.07579411566257477,0.08404116332530975,-0.07156503200531006,0.4339327812194824,0.0943549871444702
0,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYBronx1938,0.32272176444530487,0.3035067915916443,-0.01739828661084175,0.4836068898439406,0.09319089725613594
1,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYBrooklyn1938,0.10461502522230147,0.10701681673526764,-0.06763898581266402,0.3271843791007996,0.06763772666454315
2,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYManhattan1937,-0.014820496551692482,-0.007915224181488156,-0.09440856985747814,0.18187249428592622,0.0509259250247851
3,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYQueens1938,0.15622663497924805,0.13436506688594818,-0.04207918047904968,0.3316360414028168,0.0937608852982521
4,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYStatenIsland1940,0.2133358120918274,0.22746052406728268,0.013843954773619771,0.4545174688100815,0.09690500982105732
0,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYBronx1938,0.091317971998995,0.10504950481382283,-0.04664900865067135,0.36330230127681384,0.08185423267158595
1,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYBrooklyn1938,-0.0050138793885707855,0.0008348092875059913,-0.08269581768442602,0.17189315744840047,0.040875240667339635
2,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYManhattan1937,-0.010987828796108564,0.027782248953978222,-0.08747048613925774,0.3108779244745771,0.09552266541868448
3,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYQueens1938,0.1351794685675379,0.13661731735748403,-0.0640870211098124,0.3413230925798416,0.07560662925243378
4,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYStatenIsland1940,0.19851039548714955,0.1966785654425621,-0.028564823046326637,0.40743502577145896,0.0869460016489029
0,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,C,NYBronx1938,0.05863644753623268,0.0712183048017323,-0.08264831842287727,0.4007422671369884,0.08212876935367999
1,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,C,NYBrooklyn1938,-0.024622625336050988,-0.013968517314642668,-0.0890986767411232,0.19621057932265104,0.042954000048339366
2,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,C,NYManhattan1937,-0.038640350103378296,-0.014742216444574296,-0.09630836670597394,0.24337146741648516,0.0629476987135907
