source_file,holc_grade,loc_year,median,mean,min,max,std,pixel_frac,num_bounds
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYManhattan1937,302.42479197184247,302.16595458984375,297.7123285929362,305.10003662109375,1.706736072897911,0.9930151447375271,12
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYQueens1938,301.274658203125,301.28750071806064,298.77095839556523,303.6887799431296,0.8933518160791958,0.9842317855993126,17
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYStatenIsland1940,300.2145432692308,300.33702674278845,298.3857187124399,302.7122802734375,0.8651747153355525,1.0,13
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYBronx1938,302.98932946246606,302.8689482315727,298.8915139903193,306.1005686884341,1.258199191611746,0.9965846842117824,23
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYBrooklyn1938,302.97633544921877,302.83321166992187,299.5046020507813,304.9154956054688,0.8737470519542694,0.9960036638507616,25
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYManhattan1937,303.58002217610675,303.3089853922526,300.0846811930339,305.3772226969401,1.1898467441399891,1.0,6
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYQueens1938,302.2654341264205,302.26901633522726,299.70393787730825,304.7011238791726,0.8958281281319531,0.9958582236268657,110
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYStatenIsland1940,300.4469566345215,300.4079182942708,297.93653869628906,302.90761439005536,0.9129949050645033,0.9981214601220962,24
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYBronx1938,303.39981951032365,303.26719447544644,299.0453316824777,306.77600533621654,1.2153185776301794,0.9959777647218331,7
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYBrooklyn1938,302.5290726371433,302.4789096998132,299.0117824388587,305.3698929496433,1.0546985346338023,0.9953988765063441,23
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYManhattan1937,303.0553554958767,302.9695310239439,299.71464142975987,305.2088069209346,1.0811310366347984,0.9995497330979808,27
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYQueens1938,302.113525390625,302.14457533094617,299.5668199327257,304.85852898491754,1.0431228950619698,0.9988192491385224,36
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYStatenIsland1940,300.4887634277344,300.3993408203125,297.6691177368164,303.1881393432617,0.9760756939649582,0.9980802675397505,20
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYC,296.81779861450195,296.9250087738037,293.5844497680664,300.266845703125,1.4095051884651184,0.9997650375939849,16
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYC,299.0175044468471,298.91444702148436,294.92683759416855,302.4861820765904,1.5123232275247573,0.994891503798676,70
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYC,299.7284662774269,299.69100416467546,296.12563908353764,303.04587490000625,1.2187351140570133,0.9963875477394976,188
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYC,299.9728542091572,299.88120857171253,295.56996843456164,303.73035046062637,1.4812126784725528,0.9979907931515581,113
ext_stats_lst_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBronx1938,293.4675750732422,293.6033020019531,291.1573486328125,298.3656463623047,1.2818479239940643,1.0,2
