index,name,holc_id,holc_grade,geometry,loc_year,median,mean,min,max,std,num_pixels
10,Shore Acres,B15,B,"POLYGON ((579492.1381814602 4495646.931392201, 579454.5968755545 4495659.751897664, 579312.5116535262 4495915.444848305, 579467.5107945504 4495975.989681652, 579502.5930123781 4496080.325708571, 579599.9380022464 4496116.219653657, 579725.6373308017 4495904.018698376, 579796.6055698576 4495755.542965345, 579652.3680729429 4495703.918778122, 579492.1381814602 4495646.931392201))",NYStatenIsland1940,299.5481262207031,299.1054382324219,295.9482727050781,301.1234130859375,1.2716336250305176,113.0
11,Ward Hill,B2,B,"POLYGON ((577816.0804631263 4498651.257718692, 577776.048586883 4498481.034000984, 577751.2502119081 4498468.7601631, 577728.6294619432 4498478.936448532, 577718.5464501269 4498520.481816617, 577695.8673537148 4498536.264348357, 577666.2450934756 4498523.940429596, 577651.2785034803 4498494.148205517, 577704.9518929215 4498359.342647179, 577693.9968306555 4498330.392628865, 577673.2262729215 4498317.359846445, 577615.9406931828 4498335.98579494, 577561.2953121314 4498409.907743147, 577518.4381559551 4498355.795068537, 577680.9113666726 4498120.39307918, 577588.4426752027 4497965.631922691, 577500.7026571073 4497819.729548415, 577472.9063544704 4497786.196635055, 577443.9976021297 4497704.989269467, 577407.3931638275 4497667.759681036, 577371.9894813221 4497657.319476465, 577306.7420083539 4497667.856246877, 577265.2929226041 4497709.881924327, 577257.1913816052 4497793.107275682, 577270.8162666286 4497874.955187775, 577291.9685617314 4497928.844334429, 577337.2253657341 4497984.585659872, 577167.4773174631 4498143.02708768, 577343.4846768357 4498442.223922164, 577331.1124316568 4498472.131979185, 577420.5899602078 4498624.445519791, 577470.2124824476 4498665.810943737, 577505.3732266971 4498648.15569092, 577537.3188476517 4498649.690014785, 577643.5205085792 4498701.257828916, 577727.4926521594 4498802.453375026, 577752.6331327056 4498781.891597312, 577799.3812285269 4498857.568607407, 577857.915729853 4498911.343064299, 577890.6451890868 4498924.300292203, 577908.5835001176 4498910.071428243, 577907.1053463517 4498849.685541501, 577855.3102848401 4498785.768817193, 577832.7586121754 4498750.99204253, 577816.0804631263 4498651.257718692))",NYStatenIsland1940,301.42449951171875,301.4072265625,298.8777770996094,303.28173828125,0.7924622297286987,399.0
12,Port Richmond Center,B3,B,"POLYGON ((572888.4881243766 4497439.363808035, 572863.231173091 4497123.688686105, 572773.4568691718 4496537.982196162, 572273.2157349917 4496598.203035804, 572342.9640953233 4497179.69735841, 572388.8181717561 4497529.613134824, 572623.7007435031 4497471.421409785, 572888.4881243766 4497439.363808035))",NYStatenIsland1940,303.39532470703125,303.61419677734375,301.79083251953125,308.00360107421875,1.0887936353683472,522.0
13,West New Brighton,B4,B,"POLYGON ((574042.5211460888 4496404.662329913, 573977.2980264426 4496391.996091962, 573737.1967541212 4496373.590360118, 573496.9955380936 4496365.206221739, 573421.3278101921 4497105.520506472, 573631.0824697617 4497140.638208436, 573864.1427913047 4497156.966843954, 574042.863604935 4497178.770242001, 574122.225751008 4496982.286230989, 574135.3950345765 4496871.260769121, 574115.3125978012 4496767.913944094, 574091.8749638626 4496698.58141925, 574067.968671256 4496676.311783276, 574004.3900104137 4496700.715516063, 574042.5211460888 4496404.662329913))",NYStatenIsland1940,302.134765625,302.2226867675781,301.25091552734375,303.6099548339844,0.43917542695999146,525.0
14,Sunnyside,B5,B,"POLYGON ((576371.3905742747 4496817.44226192, 576361.1058411088 4496813.479733909, 576374.2941055995 4496468.712357217, 576370.1221821303 4496404.97496962, 576352.5842386557 4496256.372669172, 576336.1141705028 4496215.342030846, 576327.2394502234 4496139.536033181, 576231.2833029615 4496084.470357559, 576084.466662613 4496283.673038751, 575979.7150862899 4496381.150706707, 575921.9389767033 4496486.318127288, 575851.0421459811 4496576.92969918, 575976.5018546225 4496695.980593123, 576169.2758260093 4496956.320591151, 576303.9936869669 4496877.185987688, 576371.3905742747 4496817.44226192))",NYStatenIsland1940,301.2902526855469,301.0580749511719,297.4292297363281,303.6998596191406,1.48695707321167,305.0
15,Silver Lake,B6,B,"POLYGON ((575680.6815680404 4499108.092151973, 575714.5999278729 4498895.591736271, 575735.9294503168 4498614.478841385, 575871.1394729018 4498611.851772966, 575961.7405801588 4498597.758386929, 576159.2388957799 4498548.716441364, 576165.3283457711 4498548.823736992, 576166.5520850812 4498548.845271737, 576166.5609724675 4498548.845438411, 576227.0701946489 4498549.911704139, 576291.9589111228 4498542.23016811, 576321.5988133188 4498508.943615006, 576373.7831011816 4498477.640617699, 576374.7129486087 4498445.811499385, 576409.2689565184 4498428.144321076, 576477.0582272884 4498404.210769144, 576561.4291659835 4498409.884395748, 576623.6188386681 4498402.715128927, 576741.0619884861 4498417.742450316, 576800.8344031483 4498454.761210898, 576820.1573992758 4498442.936020991, 576871.6906862031 4498358.1637816, 576930.7978358604 4498357.573248529, 577065.9098491927 4498238.822578606, 577087.8065362422 4498218.170051425, 577045.0178160835 4498144.327112528, 576925.5731997796 4498128.072293256, 576718.8787007688 4498190.01874232, 576457.9884450983 4498244.404478773, 576365.3821460063 4498257.470857585, 576358.2134314757 4498270.413478159, 576265.8231665619 4498262.457110484, 576277.9876813261 4498056.322946025, 576210.7210120438 4498048.624800693, 576219.2434397755 4497903.52638692, 576070.303364938 4497876.449159267, 575804.8728979195 4497828.201612821, 575784.9911756619 4497905.098700754, 575659.1396884966 4497890.139927014, 575628.3731125098 4497886.483347739, 575592.9883894883 4498104.401805398, 575312.1639321734 4498043.480769556, 575277.8954392687 4498251.394727793, 575273.9282285045 4498345.470517034, 575403.2702032233 4498376.817036062, 575361.153284219 4498565.61909709, 575353.6733591052 4498708.713321188, 575327.7599954492 4498885.657440308, 575494.3662910342 4498908.370672932, 575382.8018328642 4499603.008110327, 575580.3790930244 4499642.052539191, 575639.4596032713 4499366.356702904, 575680.6815680404 4499108.092151973))",NYStatenIsland1940,301.4827880859375,301.54461669921875,297.9742126464844,304.9299621582031,1.0830464363098145,1159.0
16,Midland Heights,B7,B,"POLYGON ((576161.9378736602 4494633.509219234, 576191.938753877 4494610.575960432, 576359.3641244844 4494523.336244779, 576487.0964930922 4494462.939067475, 576634.3599817066 4494381.106505794, 576429.0744089531 4494237.146686071, 576180.8149136374 4494046.266845158, 576132.8822324035 4494012.917644, 576082.0339448212 4493949.885044075, 576065.6309805471 4493947.441787173, 575778.5598429695 4494146.927383151, 575759.4473294521 4494196.822335783, 575760.0403321165 4494237.400437482, 575907.6395355288 4494457.788219954, 576038.8230750444 4494659.97414231, 576095.477124227 4494725.163528982, 576161.9378736602 4494633.509219234))",NYStatenIsland1940,302.91986083984375,302.8348083496094,300.66455078125,304.10626220703125,0.6765456795692444,369.0
17,Grassmere,B8,B,"POLYGON ((577898.6659387961 4495486.820767116, 577953.1902852807 4495273.041417735, 578144.5444261995 4495340.153779161, 578426.1857074559 4494949.458641525, 578429.3534816771 4494942.743354722, 578459.0994487647 4494879.686347349, 578470.7190359134 4494826.71825206, 578485.8164303838 4494615.493125226, 578443.7280371708 4494544.126265117, 578386.7163960929 4494514.675742554, 578305.324997453 4494508.410213415, 578143.8222676154 4494546.383535163, 578056.5604337911 4494582.132518927, 577886.878281111 4494594.781404753, 577725.925341879 4494580.478256034, 577517.1446236384 4494484.298810606, 577419.5053127668 4494686.636356438, 577407.7993646273 4494748.621403678, 577462.8206620052 4494776.239704904, 577506.7963938592 4494898.905276239, 577633.0329979328 4494925.122092417, 577741.4467885989 4494943.281745329, 577793.4176256398 4494973.87504826, 577839.9001234755 4495048.485358462, 577810.448824044 4495076.224534499, 577751.4212589168 4495143.721651802, 577698.3961063963 4495214.286213678, 577636.3993163147 4495373.902913122, 577742.6735792975 4495596.369598079, 577789.4025388467 4495550.783671618, 577898.6659387961 4495486.820767116))",NYStatenIsland1940,302.6116943359375,302.07427978515625,296.8124694824219,305.09527587890625,1.8262503147125244,716.0
18,New Dorp,B9,B,"POLYGON ((575332.6912307612 4491463.634834706, 575129.7538743151 4491611.166850242, 574806.6258173292 4491871.27134504, 574924.4337465584 4491980.67912458, 574638.0443826709 4492190.643819653, 574722.5970062485 4492305.72319358, 574748.7176598858 4492336.225454553, 574923.5545090213 4492415.537235604, 575002.1017801696 4492526.949008346, 575002.2757453675 4492569.635877593, 575292.7826376488 4492369.958163792, 575101.7310056607 4492163.013986005, 575266.0981498429 4492023.982417535, 575455.3500224267 4491871.975865481, 575572.081114905 4491788.981973957, 575332.6912307612 4491463.634834706))",NYStatenIsland1940,302.5129089355469,302.70098876953125,301.3059997558594,305.65850830078125,0.7480994462966919,486.0
19,New Brighton,C1,C,"POLYGON ((577755.4808350001 4499948.52589097, 577946.2609975925 4499659.655738156, 577948.6326683355 4499625.143816619, 577904.9700305715 4499572.129995926, 577980.8376306324 4499448.526117206, 577947.8562920213 4499433.809769367, 577805.8622703123 4499404.092083608, 577882.8259083693 4499194.664171611, 577637.1897961455 4499157.256953795, 577638.7582162125 4499064.768325599, 577267.4675971583 4498990.621793366, 577194.6096529998 4498980.25431013, 577184.6008844125 4499014.990437021, 577236.1184517028 4499396.351737033, 577316.8539792139 4499402.59645377, 577294.6417807908 4499625.206148641, 577351.3368105092 4499681.654878335, 577188.4469476721 4499922.614893971, 577270.008117429 4499964.904324148, 577324.0797751171 4499983.484692138, 577410.2346967714 4499989.786588859, 577709.2538516746 4499878.18776189, 577755.4808350001 4499948.52589097))",NYStatenIsland1940,301.49371337890625,301.4212951660156,299.1513671875,305.9918212890625,1.1793758869171145,598.0
